Internal_ID,Internal_Variant_ID,Brand,FC_Title_Short,US_Title_Short,SKU,Visible,Stock_Disable_Sold_Out,Score,Priorité,Type de correction,Erreurs critiques,Erreurs majeures,Erreurs mineures,Alertes catalogue
63356285,!ID:105879907,SACHAJUAN,Après-Shampooing Hydratant,Moisturizing Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356285,!ID:105879933,SACHAJUAN,Après-Shampooing Hydratant,Moisturizing Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356430,!ID:105880080,SACHAJUAN,Shampooing Épaississant,Thickening Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356430,!ID:105880231,SACHAJUAN,Shampooing Épaississant,Thickening Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356430,!ID:105880260,SACHAJUAN,Shampooing Épaississant,Thickening Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356587,!ID:105880337,SACHAJUAN,Après-Shampooing Épaississant,Thickening Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356587,!ID:105880348,SACHAJUAN,Après-Shampooing Épaississant,Thickening Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356587,!ID:105880369,SACHAJUAN,Après-Shampooing Épaississant,Thickening Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356702,!ID:105880587,SACHAJUAN,Shampooing Soin Couleur,Color Protect Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356702,!ID:105880619,SACHAJUAN,Shampooing Soin Couleur,Color Protect Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356702,!ID:105880681,SACHAJUAN,Shampooing Soin Couleur,Color Protect Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
